Year,Title,Authors,Institution Name,Institution Country,Citation Count,Topic
2002,Particle swarm optimization,"James Kennedy, R.C. Eberhart","Indiana University – Purdue University Indianapolis, University of Indianapolis",US,40976,Artificial Intelligence
1998,Collective dynamics of ‘small-world’ networks,"Duncan J. Watts, Steven H. Strogatz",Cornell University,US,40803,Artificial Intelligence
2011,LIBSVM,"Chih-Chung Chang, Chih‐Jen Lin",National Taiwan University,TW,40737,Artificial Intelligence
1994,Situated Learning: Legitimate Peripheral Participation.,"Maurice Bloch, Jean Lave, Étienne Wenger",Unknown Institution,Unknown Country,40599,Artificial Intelligence
2002,A fast and elitist multiobjective genetic algorithm: NSGA-II,"Kalyanmoy Deb, Amrit Pratap, Sakshi Agarwal, T. Meyarivan",Indian Institute of Technology Kanpur,IN,40535,Artificial Intelligence
2013,"Introduction to Mediation, Moderation, and Conditional Process Analysis: A Regression-Based Approach",Andrew F. Hayes,The Ohio State University,US,39776,Artificial Intelligence
1979,A Threshold Selection Method from Gray-Level Histograms,Nobuyuki Otsu,Unknown Institution,Unknown Country,39723,Artificial Intelligence
2011,"MEGA5: Molecular Evolutionary Genetics Analysis Using Maximum Likelihood, Evolutionary Distance, and Maximum Parsimony Methods","Koichiro Tamura, Daniel G. Peterson, Nora Peterson, Glen Stecher, M Nei, Sudhir Kumar","Pennsylvania State University, Arizona State University, Tokyo Metropolitan University","US, JP",39630,Artificial Intelligence
1948,A Mathematical Theory of Communication,Claude E. Shannon,Unknown Institution,Unknown Country,39168,Artificial Intelligence
2017,Densely Connected Convolutional Networks,"Gao Huang, Zhuang Liu, Laurens van der Maaten, Kilian Q. Weinberger","Tsinghua University, Meta (Israel), Cornell University","IL, US, CN",37611,Artificial Intelligence
1961,An Inventory for Measuring Depression,Aaron T. Beck,University of Pennsylvania,US,37126,Artificial Intelligence
1973,Multivariate Data Analysis.,"H. Herne, William W. Cooley, Paul R. Lohnes",Unknown Institution,Unknown Country,36964,Artificial Intelligence
2018,BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding,"Jacob Devlin, Ming‐Wei Chang, Kenton Lee, Kristina Toutanova",Google (United States),US,36923,Artificial Intelligence
2015,ImageNet Large Scale Visual Recognition Challenge,"Olga Russakovsky, Jia Deng, Hao Su, Jonathan Krause, Sanjeev Satheesh, Sean Ma, Zhiheng Huang, Andrej Karpathy, Aditya Khosla, Michael S. Bernstein, Alexander C. Berg, Li Fei-Fei","University of Michigan–Ann Arbor, University of North Carolina at Chapel Hill, Massachusetts Institute of Technology, Stanford University",US,36878,Artificial Intelligence
2016,"You Only Look Once: Unified, Real-Time Object Detection","Joseph Redmon, Santosh Divvala, Ross Girshick, Ali Farhadi","University of Washington, Meta (Israel), Allen Institute","IL, US",36458,Artificial Intelligence
1986,Meta-analysis in clinical trials,"Rebecca DerSimonian, Nan M. Laird","Yale University, Harvard University",US,36418,Artificial Intelligence
1995,Support-vector networks,"Corinna Cortes, Vladimir Vapnik",AT&T (United States),US,36352,Artificial Intelligence
1975,Adaptation in natural and artificial systems,John H. Holland,Unknown Institution,Unknown Country,36211,Artificial Intelligence
2014,Microsoft COCO: Common Objects in Context,"Tsung-Yi Lin, Michael Maire, Serge Belongie, James Hays, Pietro Perona, Deva Ramanan, Piotr Dollár, C. Lawrence Zitnick","Microsoft (United States), UC Irvine Health, California Institute of Technology, Cornell University",US,35613,Artificial Intelligence
2009,<tt>edgeR</tt>: a Bioconductor package for differential expression analysis of digital gene expression data,"Mark D. Robinson, Davis J. McCarthy, Gordon K. Smyth","Walter and Eliza Hall Institute of Medical Research, Garvan Institute of Medical Research",AU,35383,Artificial Intelligence
2008,Visualizing Data using t-SNE,"Laurens van der Maaten, Geoffrey E. Hinton",Unknown Institution,Unknown Country,34828,Artificial Intelligence
2008,Systematic and integrative analysis of large gene lists using DAVID bioinformatics resources,"Da Wei Huang, Brad T. Sherman, Richard A. Lempicki","Science Applications International Corporation (United States), National Cancer Institute",US,33955,Artificial Intelligence
2014,Dropout: a simple way to prevent neural networks from overfitting,"Nitish Srivastava, Geoffrey E. Hinton, Alex Krizhevsky, Ilya Sutskever, Ruslan Salakhutdinov",University of Toronto,CA,33595,Artificial Intelligence
1997,[20] Processing of X-ray diffraction data collected in oscillation mode,"Zbyszek Otwinowski, W. Minor",Unknown Institution,Unknown Country,33395,Artificial Intelligence
1990,Absorptive Capacity: A New Perspective on Learning and Innovation,"Wesley M. Cohen, Daniel A. Levinthal","Carnegie Mellon University, University of Pennsylvania",US,32652,Artificial Intelligence
2017,ImageNet classification with deep convolutional neural networks,"Alex Krizhevsky, Ilya Sutskever, Geoffrey E. Hinton","Google (United States), OpenAI (United States)",US,32336,Artificial Intelligence
2014,Glove: Global Vectors for Word Representation,"Jeffrey Pennington, Richard Socher, Christopher D. Manning",Stanford University,US,32251,Artificial Intelligence
2000,Inference of Population Structure Using Multilocus Genotype Data,"Jonathan K. Pritchard, Matthew Stephens, Peter Donnelly",University of Oxford,GB,32173,Artificial Intelligence
2015,Fully convolutional networks for semantic segmentation,"Jonathan Long, Evan Shelhamer, Trevor Darrell","University of California, Berkeley",US,31375,Artificial Intelligence
2019,,"Jacob Devlin, Ming‐Wei Chang, Kenton Lee, Kristina Toutanova",Unknown Institution,Unknown Country,30853,Artificial Intelligence
1998,Principles and Practice of Structural Equation Modeling,Rex B. Kline,Concordia University,CA,30690,Artificial Intelligence
1998,Neural Networks: A Comprehensive Foundation,Simon Haykin,Unknown Institution,Unknown Country,30495,Artificial Intelligence
2005,Histograms of Oriented Gradients for Human Detection,"Navneet Dalal, Bill Triggs","Centre Inria de l'Université Grenoble Alpes, Institut national de recherche en informatique et en automatique",FR,30373,Artificial Intelligence
1995,,"Corinna Cortes, Vladimir Vapnik",Nokia (United States),US,29682,Artificial Intelligence
2014,RAxML version 8: a tool for phylogenetic analysis and post-analysis of large phylogenies,Alexandros Stamatakis,"Heidelberg Institute for Theoretical Studies, Karlsruhe Institute of Technology",DE,29267,Artificial Intelligence
2021,Highly accurate protein structure prediction with AlphaFold,"John Jumper, Richard Evans, Alexander Pritzel, Tim Green, Michael Figurnov, Olaf Ronneberger, Kathryn Tunyasuvunakool, Russ Bates, Augustin Žídek, Anna Potapenko, Alex Bridgland, Clemens Meyer, Simon Kohl, Andrew J. Ballard, Andrew Cowie, Bernardino Romera‐Paredes, Stanislav Nikolov, Rishub Jain, Jonas Adler, Trevor Back, Stig Petersen, David Reiman, Ellen Clancy, Michal Zielinski, Martin Steinegger, Michalina Pacholska, Tamas Berghammer, Sebastian W. Bodenstein, David Silver, Oriol Vinyals, Andrew Senior, Koray Kavukcuoglu, Pushmeet Kohli, Demis Hassabis","DeepMind (United Kingdom), Seoul National University","GB, KR",28919,Artificial Intelligence
1960,A New Approach to Linear Filtering and Prediction Problems,R. E. Kalman,Institute for Advanced Study,DE,28853,Artificial Intelligence
2008,Asymptotic and resampling strategies for assessing and comparing indirect effects in multiple mediator models,"Kristopher J. Preacher, Andrew F. Hayes","The Ohio State University, University of Kansas",US,28726,Artificial Intelligence
2003,MrBayes 3: Bayesian phylogenetic inference under mixed models,"Fredrik Ronquist, John P. Huelsenbeck","Uppsala University, University of California, San Diego","US, SE",28247,Artificial Intelligence
